Local;fecha;Base0;Base<>0;Impuestos;Venta-Impuesto;Suma de total_venta_sinimpuestos
002-GUASMO;01-mar;$1.559,88;$633,09;$94,96;$2.287,94;2192,972409
002-GUASMO;02-mar;$1.432,98;$554,37;$83,16;$2.070,50;1987,346383
002-GUASMO;03-mar;$1.118,89;$389,49;$58,42;$1.566,80;1508,374722
002-GUASMO;04-mar;$1.211,80;$424,37;$63,66;$1.699,82;1636,168943
002-GUASMO;05-mar;$1.562,54;$664,33;$99,65;$2.326,51;2226,861574
002-GUASMO;06-mar;$1.756,39;$641,95;$96,29;$2.494,63;2398,342057
002-GUASMO;07-mar;$1.681,19;$530,83;$79,62;$2.291,65;2212,0259
002-GUASMO;08-mar;$1.652,93;$580,85;$87,13;$2.320,90;2233,777178
002-GUASMO;09-mar;$1.407,01;$646,65;$97,00;$2.150,66;2053,662365
002-GUASMO;10-mar;$1.584,97;$492,66;$73,90;$2.151,53;2077,626939
002-GUASMO;11-mar;$1.467,13;$490,75;$73,61;$2.031,50;1957,885061
002-GUASMO;12-mar;$1.604,65;$477,14;$71,57;$2.153,36;2081,7877
002-GUASMO;13-mar;$1.688,48;$406,93;$61,04;$2.156,44;2095,403296
002-GUASMO;14-mar;$1.574,96;$619,36;$92,90;$2.287,23;2194,321061
002-GUASMO;15-mar;$1.876,39;$647,61;$97,14;$2.621,14;2523,9984
002-GUASMO;16-mar;$1.558,13;$484,80;$72,72;$2.115,65;2042,925535
002-GUASMO;17-mar;$1.880,25;$612,56;$91,88;$2.584,69;2492,808674
002-GUASMO;18-mar;$1.515,55;$467,08;$70,06;$2.052,70;1982,636626
002-GUASMO;19-mar;$1.633,99;$661,00;$99,15;$2.394,14;2294,993322
002-GUASMO;20-mar;$1.763,31;$587,33;$88,10;$2.438,74;2350,643022
002-GUASMO;21-mar;$1.768,79;$488,53;$73,28;$2.330,60;2257,318865
002-GUASMO;22-mar;$1.691,75;$605,93;$90,89;$2.388,57;2297,6839
002-GUASMO;23-mar;$1.607,48;$602,70;$90,40;$2.300,58;2210,17647
002-GUASMO;24-mar;$1.947,30;$593,40;$89,01;$2.629,71;2540,699326
002-GUASMO;25-mar;$1.487,86;$382,17;$57,33;$1.927,35;1870,024222
002-GUASMO;26-mar;$2.038,19;$617,78;$92,67;$2.748,63;2655,966983
002-GUASMO;27-mar;$1.211,91;$544,01;$81,60;$1.837,52;1755,919765
002-GUASMO;28-mar;$1.568,20;$396,84;$59,53;$2.024,57;1965,040487
002-GUASMO;29-mar;$1.588,04;$606,52;$90,98;$2.285,54;2194,5611
002-GUASMO;30-mar;$1.209,79;$403,56;$60,53;$1.673,89;1613,356939
002-GUASMO;31-mar;$1.973,94;$670,98;$100,65;$2.745,57;2644,920026
002-GUASMO;01-abr;$1.453,77;$729,04;$109,36;$2.292,16;2182,80183
002-GUASMO;02-abr;$1.458,95;$571,49;$85,72;$2.116,17;2030,44493
002-GUASMO;03-abr;$1.834,63;$641,57;$96,24;$2.572,43;2476,19363
002-GUASMO;04-abr;$1.353,06;$511,65;$76,75;$1.941,46;1864,711726
002-GUASMO;05-abr;$1.729,68;$734,77;$110,22;$2.574,66;2464,448552
002-GUASMO;06-abr;$1.191,53;$428,22;$64,23;$1.683,99;1619,75357
002-GUASMO;07-abr;$1.708,55;$641,18;$96,18;$2.445,91;2349,729874
002-GUASMO;08-abr;$1.432,60;$618,91;$92,84;$2.144,36;2051,517987
002-GUASMO;09-abr;$1.529,01;$679,56;$101,93;$2.310,51;2208,573122
002-GUASMO;10-abr;$1.466,88;$464,23;$69,63;$2.000,75;1931,111909
002-GUASMO;11-abr;$1.462,79;$579,65;$86,95;$2.129,39;2042,444187
002-GUASMO;12-abr;$1.492,91;$564,81;$84,72;$2.142,45;2057,726578
002-GUASMO;13-abr;$1.321,37;$487,15;$73,07;$1.881,59;1808,515683
002-GUASMO;14-abr;$1.773,66;$507,67;$76,15;$2.357,48;2281,327257
002-GUASMO;15-abr;$1.388,55;$731,10;$109,67;$2.229,32;2119,655822
002-GUASMO;16-abr;$1.799,17;$579,30;$86,90;$2.465,37;2378,476639
002-GUASMO;17-abr;$1.507,79;$536,46;$80,47;$2.124,72;2044,250683
002-GUASMO;18-abr;$1.696,54;$554,44;$83,17;$2.334,14;2250,978252
002-GUASMO;19-abr;$1.234,54;$405,71;$60,86;$1.701,10;1640,246196
002-GUASMO;20-abr;$1.233,36;$477,25;$71,59;$1.782,20;1710,615274
002-GUASMO;21-abr;$1.993,53;$845,39;$126,81;$2.965,73;2838,925535
002-GUASMO;22-abr;$1.442,63;$748,22;$112,23;$2.303,08;2190,847948
002-GUASMO;23-abr;$1.538,68;$558,86;$83,83;$2.181,38;2097,547839
002-GUASMO;24-abr;$1.579,97;$519,57;$77,94;$2.177,48;2099,546096
002-GUASMO;25-abr;$1.231,14;$384,64;$57,70;$1.673,48;1615,787483
002-GUASMO;26-abr;$1.406,70;$630,98;$94,65;$2.132,34;2037,687617
002-GUASMO;27-abr;$1.261,98;$515,66;$77,35;$1.854,98;1777,632261
002-GUASMO;28-abr;$1.899,35;$584,16;$87,62;$2.571,13;2483,502478
002-GUASMO;29-abr;$1.621,33;$591,61;$88,74;$2.301,68;2212,934483
002-GUASMO;30-abr;$1.829,95;$674,76;$101,21;$2.605,93;2504,714478
002-GUASMO;01-may;$1.635,33;$714,24;$107,14;$2.456,71;2349,572791
002-GUASMO;02-may;$1.654,51;$539,42;$80,91;$2.274,85;2193,934661
002-GUASMO;03-may;$1.701,59;$608,24;$91,24;$2.401,07;2309,829848
002-GUASMO;04-may;$1.478,99;$599,19;$89,88;$2.168,06;2078,180552
002-GUASMO;05-may;$1.600,29;$652,02;$97,80;$2.350,11;2252,309722
002-GUASMO;06-may;$1.476,20;$707,58;$106,14;$2.289,91;2183,7775
